tSec,x,y,z,vx,vy,vz,
60120,41359628.0637685,8196717.22537469,-67528.24890062,-597.627636826028,3015.99427533318,2.39487392631317,
60180,41323374.6251889,8377597.84968756,-67383.9084286823,-610.818387173322,3013.35025005541,2.41646766171051,
60240,41286330.0912705,8558318.10168625,-67238.2736825295,-623.997439389703,3010.64854005975,2.43801633140104,
60300,41248495.1714697,8738874.52183463,-67091.3473784705,-637.164541233718,3007.88919709571,2.4595195233044,
60360,41209870.5903703,8919263.65373467,-66943.1322575138,-650.319440692762,3005.07227401539,2.48097682619238,
60420,41170457.08767,9099482.04419249,-66793.6310853157,-663.461885987892,3002.19782477249,2.50238782969664,
60480,41130255.418166,9279526.24328447,-66642.8466521285,-676.591625578638,2999.26590442129,2.52375212431648,
60540,41089266.3517408,9459392.80442322,-66490.7817727485,-689.708408167812,2996.27656911556,2.54506930142659,
60600,41047490.6733471,9639078.28442356,-66337.439286463,-702.811982706312,2993.22987610749,2.56633895328471,
60660,41004929.1829931,9818579.24356833,-66182.822056997,-715.902098397913,2990.12588374665,2.58756067303938,
60720,40961582.6957272,9997892.24567428,-66026.93297246,-728.978504704068,2986.9646514788,2.60873405473755,
60780,40917452.0416221,10177013.8581577,-65869.7749452912,-742.04095134869,2983.7462398448,2.62985869333231,
60840,40872538.065759,10355940.6521003,-65711.3509122055,-755.089188322938,2980.47071047945,2.65093418469048,
60900,40826841.6282116,10534669.2023145,-65551.6638341379,-768.122965889993,2977.13812611029,2.67196012560025,
60960,40780363.6040297,10713196.0874091,-65390.7166961887,-781.142034589833,2973.74855055642,2.69293611377879,
61020,40733104.8832219,10891517.889855,-65228.5125075667,-794.146145243997,2970.30204872727,2.71386174787985,
61080,40685066.3707394,11069631.1960501,-65065.0543015333,-807.135048960352,2966.79868662137,2.73473662750128,
61140,40636248.9864577,11247532.596385,-64900.3451353457,-820.108497137845,2963.23853132508,2.75556035319267,
61200,40586653.6651599,11425218.6853081,-64734.3880901993,-833.066241471256,2959.62165101129,2.77633252646276,
61260,40536281.3565183,11602686.0613905,-64567.1862711698,-846.008033955945,2955.94811493818,2.79705274978708,
61320,40485133.0250763,11779931.3273916,-64398.7428071554,-858.933626892588,2952.21799344781,2.81772062661538,
61380,40433209.6502302,11956951.0903236,-64229.0608508179,-871.842772891917,2948.43135796486,2.8383357613791,
61440,40380512.2262098,12133741.9615169,-64058.1435785234,-884.735224879442,2944.58828099518,2.85889775949885,
61500,40327041.7620602,12310300.5566843,-63885.9941902832,-897.610736100175,2940.6888361245,2.87940622739187,
61560,40272799.2816219,12486623.4959864,-63712.6159096932,-910.469060123349,2936.73309801692,2.89986077247939,
61620,40217785.8235116,12662707.4040957,-63538.0119838738,-923.309950847124,2932.72114241359,2.92026100319408,
61680,40162002.4411018,12838548.9102617,-63362.185683409,-936.133162503294,2928.65304613116,2.94060652898742,
61740,40105450.2025014,13014144.648375,-63185.1403022849,-948.938449661982,2924.52888706041,2.96089696033705,
61800,40048130.1905343,13189491.2570318,-63006.8791578279,-961.72556723633,2920.34874416469,2.98113190875414,
61860,39990043.5027197,13364585.3795982,-62827.4055906427,-974.494270487189,2916.11269747842,3.00131098679065,
61920,39931191.2512503,13539423.6642747,-62646.7229645493,-987.244315027789,2911.82082810562,3.02143380804672,
61980,39871574.5629714,13714002.7641599,-62464.8346665203,-999.975456828416,2907.47321821827,3.04149998717789,
62040,39811194.5793593,13888319.3373147,-62281.7441066168,-1012.68745222108,2903.06995105483,3.06150913990235,
62100,39750052.4564994,14062370.0468263,-62097.4547179251,-1025.38005790415,2898.61111091857,3.08146088300826,
62160,39688149.3650639,14236151.5608721,-61911.9699564916,-1038.05303094704,2894.09678317604,3.10135483436087,
62220,39625486.4902899,14409660.5527832,-61725.2933012586,-1050.70612879482,2889.52705425537,3.12119061290981,
62280,39562065.0319562,14582893.7011082,-61537.4282539984,-1063.33910927289,2884.90201164464,3.1409678386962,
62340,39497886.2043606,14755847.6896769,-61348.3783392482,-1075.95173059155,2880.22174389024,3.16068613285983,
62400,39432951.2362966,14928519.2076635,-61158.1471042435,-1088.54375135068,2875.48634059514,3.18034511764634,
62460,39367261.3710301,15100904.94965,-60966.7381188518,-1101.11493054433,2870.69589241718,3.19994441641427,
62520,39300817.866275,15273001.6156895,-60774.1549755054,-1113.66502756533,2865.85049106739,3.21948365364219,
62580,39233621.99417,15444805.9113692,-60580.4012891342,-1126.19380220988,2860.95022930815,3.23896245493578,
62640,39165675.0412536,15616314.5478738,-60385.4806970977,-1138.70101468216,2855.99520095152,3.25838044703486,
62700,39096978.3084396,15787524.2420479,-60189.396859117,-1151.18642559889,2850.98550085735,3.27773725782044,
62760,39027533.1109924,15958431.7164593,-59992.1534572057,-1163.64979599393,2845.92122493154,3.29703251632169,
62820,38957340.7785019,16129033.6994614,-59793.7541956012,-1176.09088732284,2840.80247012419,3.31626585272301,
62880,38886402.6548577,16299326.9252558,-59594.2028006948,-1188.50946146744,2835.62933442771,3.33543689837089,
62940,38814720.0982236,16469308.1339549,-59393.5030209622,-1200.90528074034,2830.40191687502,3.35454528578092,
63000,38742294.4810116,16638974.0716444,-59191.6586268928,-1213.27810788953,2825.12031753758,3.37359064864469,
63060,38669127.1898558,16808321.4904452,-58988.6734109191,-1225.62770610288,2819.78463752356,3.39257262183671,
63120,38595219.6255856,16977347.1485758,-58784.5511873454,-1237.95383901269,2814.39497897582,3.41149084142123,
63180,38520573.203199,17146047.8104144,-58579.2957922763,-1250.25627070017,2808.95144507004,3.43034494465916,
63240,38445189.3518357,17314420.2465605,-58372.9110835447,-1262.53476569999,2803.45414001272,3.44913457001483,
63300,38369069.5147493,17482461.233897,-58165.4009406395,-1274.78908900479,2797.90316903915,3.46785935716288,
