tSec,x,y,z,vx,vy,vz,
1200,983735.921926913,-3085812.59108567,-7003308.72882233,6088.31061679433,3730.12384830227,-787.954990659509,
1260,1347314.28769727,-2857319.7109956,-7039639.8605918,6027.82468622082,3884.32848188569,-422.770523085343,
1320,1706699.716549,-2619935.05868562,-7054015.05152773,5948.58227314891,4026.44007666126,-56.279175173851,
1380,2060773.9080162,-2374397.55498538,-7046389.91388483,5850.82911396747,4156.02028742922,310.384547385957,
1440,2408434.99886205,-2121471.28019148,-7016788.15757039,5734.86723137133,4272.66901086788,676.085781555105,
1500,2748600.91224653,-1861943.14518998,-6965301.51255352,5601.05398230516,4376.02550414575,1039.69259895168,
1560,3080212.6470037,-1596620.49964182,-6892089.45529022,5449.80101882312,4465.76937597849,1400.07925023851,
1620,3402237.50170853,-1326328.68305045,-6797378.74115007,5281.57314507792,4541.62150252758,1756.12939053486,
1680,3713672.22613839,-1051908.52335765,-6681462.74402022,5096.88704123853,4603.34485602345,2106.73927627678,
1740,4013546.09299721,-774213.788752293,-6544700.60548656,4896.30989016766,4650.74523841568,2450.82091728115,
1800,4300923.88517916,-494108.597547014,-6387516.19535447,4680.45793411196,4683.67195211422,2787.30522459034,
1860,4574908.79315857,-212464.78907003,-6210396.88170217,4449.99490563409,4702.01842645529,3115.14521964206,
1920,4834645.21182815,69840.7404598561,-6013892.10638209,4205.63023171339,4705.72274297501,3433.31929903167,
