tSec,x,y,z,vx,vy,vz,Unnamed: 7
17040,13518699.1025746,39769727.4011729,1188780.38544248,-2906.33173323117,978.995202343417,-253.678338822911,
17100,13344189.0364753,39828082.3651189,1173548.24751379,-2910.66114314944,966.166984228188,-254.058777943442,
17160,13169420.8855332,39885667.0483284,1158293.42987148,-2914.9345462743,953.31921853013,-254.434327956269,
17220,12994398.0128543,39942480.2852836,1143016.22609882,-2919.15185283429,940.452149899144,-254.804980983118,
17280,12819123.7868996,39998520.925159,1127716.93024903,-2923.31297410348,927.566023419199,-255.170729236996,
17340,12643601.581422,40053787.8318469,1112395.83683981,-2927.41782240373,914.66108460397,-255.531565022388,
17400,12467834.7754038,40108279.8839833,1097053.24084785,-2931.46631110687,901.737579392456,-255.887480735455,
17460,12291826.7529933,40161995.974973,1081689.4377033,-2935.45835463691,888.795754144597,-256.238468864223,
17520,12115580.903442,40214935.0130152,1066304.72328429,-2939.39386847225,875.835855636868,-256.584521988776,
17580,11939100.6210406,40267095.9211278,1050899.39391135,-2943.27276914783,862.858131057863,-256.925632781445,
17640,11762389.3050563,40318477.6371723,1035473.74634192,-2947.09497425728,849.862828003872,-257.261794006997,
17700,11585450.3596686,40369079.1138784,1020028.07776477,-2950.86040245506,836.850194474436,-257.59299852282,
17760,11408287.1939062,40418899.3188675,1004562.68579443,-2954.56897345856,823.820478867898,-257.91923927911,
17820,11230903.2215826,40467937.2346766,989077.868465664,-2958.22060805021,810.773929976937,-258.240509319054,
17880,11053301.8612322,40516191.8587824,973573.92422781,-2961.81522807959,797.710796984091,-258.556801779013,
17940,10875486.5360466,40563662.2036238,958051.15193925,-2965.35275646542,784.631329457266,-258.868109888701,
18000,10697460.6738101,40610347.2966253,942509.850861769,-2968.83311719769,771.535777345238,-259.174426971367,
18060,10519227.7068354,40656246.1802198,926950.32065495,-2972.25623533964,758.424390973135,-259.475746443969,
18120,10340791.0718991,40701357.9118706,911372.86137054,-2975.62203702976,745.297421037915,-259.772061817351,
18180,10162154.2101773,40745681.5640941,895777.773446817,-2978.93044948382,732.155118603825,-260.063366696422,
18240,9983320.56718059,40789216.2244813,880165.357702936,-2982.18140099684,718.997735097852,-260.34965478032,
18300,9804293.59268966,40831960.9957198,864535.915333274,-2985.37482094501,705.825522305161,-260.630919862592,
18360,9625076.74069002,40873914.9956148,848889.747901758,-2988.51063978766,692.638732364523,-260.907155831359,
18420,9445673.46930709,40915077.3571101,833227.157336187,-2991.58878906918,679.437617763724,-261.178356669485,
18480,9266087.24074104,40955447.2283096,817548.445922541,-2994.60920142091,666.222431334977,-261.444516454745,
18540,9086321.5212015,40995023.772497,801853.916299281,-2997.57181056303,652.993426250302,-261.705629359986,
18600,8906379.78084218,41033806.1681565,786143.871451644,-3000.47655130643,639.750856016916,-261.961689653297,
18660,8726265.49369536,41071793.6089926,770418.614705918,-3003.32335955454,626.494974472592,-262.212691698164,
18720,8545982.13760631,41108985.30395,754678.449723717,-3006.11217230518,613.226035781022,-262.458629953634,
18780,8365533.19416754,41145380.4772329,738923.680496239,-3008.84292765236,599.944294427158,-262.699498974472,
18840,8184922.14865299,41180978.3683239,723154.611338524,-3011.51556478806,586.650005212545,-262.935293411318,
18900,8004152.4899521,41215778.2320032,707371.546883691,-3014.13002400402,573.343423250649,-263.166008010843,
18960,7823227.71050377,41249779.3383672,691574.792077176,-3016.68624669349,560.024803962162,-263.391637615901,
19020,7642151.30623022,41282980.9728464,675764.652170953,-3019.18417535294,546.694403070304,-263.612177165684,
19080,7460926.77647073,41315382.4362238,659941.432717751,-3021.62375358382,533.352476596113,-263.827621695867,
19140,7279557.62391531,41346983.0446524,644105.439565259,-3024.00492609421,519.999280853722,-264.037966338762,
19200,7098047.35453825,41377782.1296727,628256.978850328,-3026.32763870053,506.635072445627,-264.24320632346,
