tSec,x,y,z,vx,vy,vz,
19080,-1395476.3011548,2770538.38332891,6692750.59143608,-5924.24246429106,-4127.36933282605,-117.715289624981,
19140,-1748223.47381717,2518090.54778628,6673696.19704008,-5830.27568258318,-4285.39359935719,-518.127522092234,
19200,-2094660.19645625,2256559.58787782,6630504.01964084,-5713.85147596953,-4429.99584530769,-922.100497282236,
19260,-2433431.94322088,1986776.84581966,6562998.59968526,-5574.74408352315,-4560.30806322573,-1328.34753329046,
19320,-2763172.57940276,1709625.81301841,6471084.20179748,-5412.7938657375,-4675.46077818197,-1735.49736166964,
19380,-3082508.61762333,1426042.05715896,6354749.96301637,-5227.91703008134,-4774.58860050314,-2142.09193157247,
19440,-3390064.06563031,1137012.79188951,6214075.13170685,-5020.11552869625,-4856.83643385741,-2546.58545898824,
19500,-3684465.88202989,843576.063131575,6049234.35692104,-4789.48769497858,-4921.36621318213,-2947.34358370995,
19560,-3964350.12003429,546819.480645871,5860503.00540235,-4536.24045337215,-4967.36546148872,-3342.64366200375,
19620,-4228368.82207074,247878.384958653,5648262.38726779,-4260.7019464161,-4994.05740648254,-3730.67756622836,
19680,-4475197.66570235,-52066.6238374434,5413004.74206742,-3963.33390973934,-5000.7121068874,-4109.55678948183,
19740,-4703544.34333586,-351792.861213595,5155337.85265136,-3644.7436544651,-4986.65888539157,-4477.31992126065,
19800,-4912157.60654553,-650039.505171255,4875989.12732993,-3305.69406656313,-4951.29925624728,-4831.94246380469,
19860,-5099836.91486477,-945512.317622356,4575809.09002442,-2947.11459369205,-4894.12026481415,-5171.34710244324,
19920,-5265442.77581553,-1236889.2221195,4255774.11495766,-2570.11214542932,-4814.70935179835,-5493.41909605265,
19980,-5407907.59828674,-1522826.7634922,3916988.14742888,-2175.97734948362,-4712.76902958296,-5796.0234919833,
20040,-5526246.90174884,-1801967.49482639,3560683.41522176,-1766.19140847632,-4588.13298362903,-6077.0226574319,
20100,-5619570.99881167,-2072948.29125069,3188219.85696441,-1342.43354941398,-4440.78086555244,-6334.30220863811,
20160,-5687096.86282321,-2334409.60008425,2801082.82297032,-906.578781329444,-4270.85473597523,-6565.80085475079,
20220,-5728159.649173,-2585005.59279875,2400879.03286159,-460.689853223281,-4078.67120998872,-6769.53904018023,
20280,-5742223.71514823,-2823414.8464242,1989330.86359341,-7.01014457400088,-3864.72936612685,-6943.64577586583,
