tSec,x,y,z,vx,vy,vz,
24300,-2967939.52163964,1639885.98340429,6929720.2079645,-5393.53563707354,-4586.08804704567,-1223.56879455841,
24360,-3286762.86816165,1362310.35447345,6845531.26405167,-5231.14843219235,-4664.03229223797,-1582.00412343394,
24420,-3595351.18515322,1080492.48708041,6739977.8213125,-5052.45547881558,-4727.45906970456,-1935.5345173847,
24480,-3892742.37311033,795309.632931057,6613387.18738397,-4858.00652402548,-4776.16899991921,-2283.06221865933,
24540,-4178008.78551149,507649.66575808,6466152.03057289,-4648.4000166708,-4810.0075132803,-2623.50683263409,
24600,-4450260.10632439,218408.372166238,6298729.24033914,-4424.28158479173,-4828.86551979431,-2955.80860202726,
24660,-4708646.129149,-71513.2940593723,6111638.5893046,-4186.34227483505,-4832.67994491496,-3278.93173092417,
24720,-4952359.42402898,-361211.984560107,5905461.19686238,-3935.31657851312,-4821.4340897531,-3591.86766341361,
24780,-5180637.8806917,-649784.745482886,5680837.79818837,-3671.98028844357,-4795.15782058349,-3893.63829004347,
24840,-5392767.11811488,-936331.812738575,5438466.82381004,-3397.1481917208,-4753.92758555051,-4183.2990460337,
24900,-5588082.75227286,-1219959.40356845,5179102.29764663,-3111.67166126718,-4697.86628212969,-4459.94186472621,
24960,-5765972.51749479,-1499782.49673384,4903551.56124138,-2816.43618429067,-4627.14301483665,-4722.69802844568,
25020,-5925878.23688708,-1774927.59507376,4612672.8288153,-2512.35879453387,-4541.97274721164,-4970.74095849886,
25080,-6067297.63498281,-2044535.46354256,4307372.57708641,-2200.38538080985,-4442.61583014795,-5203.28892816559,
25140,-6189785.98546109,-2307763.83504929,3988602.77496706,-1881.48788215007,-4329.3773995904,-5419.60768945703,
25200,-6292957.58687912,-2563790.07591248,3657357.95778715,-1556.66135300287,-4202.60662733402,-5619.0130291843,
25260,-6376487.05748595,-2811813.80109131,3314672.15089285,-1226.92086646955,-4062.69579332498,-5800.87322406656,
25320,-6440110.43968379,-3051059.42807355,2961615.65074889,-893.298269247783,-3910.07916416497,-5964.61132173632,
25380,-6483626.10641785,-3280778.6577262,2599291.67576341,-556.83883781344,-3745.23169022794,-6109.7072024302,
25440,-6506895.4653717,-3500252.87265469,2228832.89971977,-218.59788394679,-3568.66755958535,-6235.69943211019,
25500,-6509843.4581409,-3708795.44457047,1851397.88002366,120.362683211,-3380.93861169192,-6342.18691683497,
