sweep,value,config,mode,dt,epsilon,n_states,seed,pos_rms,pos_mean,pos_std,pos_max,vel_rms,vel_mean,vel_std,vel_max,dv_err_R,dv_err_I,dv_err_C,dv_err_norm,t_star_error,runtime_s,q_mode,q_pos_R,q_pos_I,q_pos_C,q_vel_R,q_vel_I,q_vel_C
dt,60.0,deltaRIC0.5,FGO-G,60.0,30.0,1657,10,26.674477919866845,23.250642946396074,13.07422559376525,59.805914700421155,0.014926811028641691,0.008489240691576859,0.01227772291450067,0.47907431652302995,-0.004671523482600193,0.023579669733432507,0.01944092105773354,0.03091558454823821,-3.6250039294209273,9.815776687999914,calibrated,0.0005199916693799954,0.0003668025462894149,0.00021770097794922811,1.7342044675898263e-05,1.212032369582725e-05,7.256099495482429e-06
dt,60.0,deltaRIC0.5,FGO-G,60.0,30.0,1657,11,31.12380544972944,25.878543485706086,17.291392446272997,67.96852218707276,0.011601103324927618,0.008590566832846612,0.007796650553028675,0.28312061553198237,0.008659022843770736,-0.007334523884233446,0.010620063943895142,0.015542190173516598,13.47227585591827,7.697313448999921,calibrated,0.0005199916693799954,0.0003668025462894149,0.00021770097794922811,1.7342044675898263e-05,1.212032369582725e-05,7.256099495482429e-06
dt,60.0,deltaRIC0.5,FGO-G,60.0,30.0,1657,12,27.3606875806375,24.233608682083684,12.701946115807983,68.31008686593661,0.013597121303828867,0.009102093193718812,0.01010116860783417,0.3763286450625685,0.01607164883082346,0.016320668380253256,0.0024337441242880953,0.023034435590697993,4.908775130648792,8.011132622999867,calibrated,0.0005199916693799954,0.0003668025462894149,0.00021770097794922811,1.7342044675898263e-05,1.212032369582725e-05,7.256099495482429e-06
dt,60.0,deltaRIC0.5,FGO-G,60.0,30.0,1657,13,23.770884869429644,20.342165503542628,12.298425513136197,49.84105311974267,0.012510107122523621,0.00756624535798005,0.009962665878160403,0.37901287439401504,0.026047972846853673,0.01923214492664782,-0.008236826570434008,0.03340984285897525,4.300600321699676,7.6814489959997445,calibrated,0.0005199916693799954,0.0003668025462894149,0.00021770097794922811,1.7342044675898263e-05,1.212032369582725e-05,7.256099495482429e-06
dt,60.0,deltaRIC0.5,FGO-G,60.0,30.0,1657,14,21.381255220847603,18.214739972995588,11.197380163912436,49.20260753614946,0.012544669730027309,0.007968720363199738,0.009688562040292115,0.37951811386318846,0.0018904606127632118,-0.015491976306670985,-0.002524030168775837,0.015809677400496026,4.539519409963759,8.01999459999979,calibrated,0.0005199916693799954,0.0003668025462894149,0.00021770097794922811,1.7342044675898263e-05,1.212032369582725e-05,7.256099495482429e-06
dt,60.0,deltaRIC0.5,FGO-G,60.0,30.0,1657,15,22.44715443113165,20.182248294990757,9.826067159062971,46.88551291342597,0.010422194507852643,0.006643423803794794,0.008030383460500907,0.3118240621095424,0.007634650026884571,-0.0022107414893067223,0.005241912761788203,0.00952118208878229,11.359806780877989,10.786498935000054,calibrated,0.0005199916693799954,0.0003668025462894149,0.00021770097794922811,1.7342044675898263e-05,1.212032369582725e-05,7.256099495482429e-06
dt,90.0,deltaRIC0.5,FGO-G,90.0,30.0,1105,1,39.02742104587702,34.334199799328495,18.555385138335335,92.78181934540594,0.017656315929492086,0.011153994490690187,0.013686997446616583,0.4265639366679595,0.03877007789515963,0.021926454939436457,0.03355764694988783,0.055767410151639635,-0.29632810425391654,5.101047273999939,calibrated,0.0011704924650405703,0.0008394782469571381,0.0004899004510368532,2.6031988903622817e-05,1.8151959219659942e-05,1.0885314139644817e-05
dt,90.0,deltaRIC0.5,FGO-G,90.0,30.0,1105,2,32.91965311524564,28.761029601451934,16.01582771799533,66.13262833167505,0.014946790409460441,0.00942165593623321,0.011603402215022115,0.36718734641872,0.01592103726754468,0.007837091614512293,0.01596142182740612,0.0238676856733367,5.483103540507727,5.227901066999948,calibrated,0.0011704924650405703,0.0008394782469571381,0.0004899004510368532,2.6031988903622817e-05,1.8151959219659942e-05,1.0885314139644817e-05
dt,90.0,deltaRIC0.5,FGO-G,90.0,30.0,1105,3,26.370908406006144,23.709645734449577,11.544587879385839,62.3571721025374,0.01842670090914192,0.007699376264921303,0.016741054671857977,0.5506886946223819,0.04503356899619604,0.06187265755837401,0.0246635056485085,0.08040234201032316,-9.321869103352583,5.321659563999674,calibrated,0.0011704924650405703,0.0008394782469571381,0.0004899004510368532,2.6031988903622817e-05,1.8151959219659942e-05,1.0885314139644817e-05
dt,90.0,deltaRIC0.5,FGO-G,90.0,30.0,1105,4,28.407508310121813,24.299030514583777,14.71542199330234,87.85755432804923,0.020906547629125666,0.009130941508671074,0.018807169934206676,0.6135036287058437,0.025867833052431122,0.03453640523767576,0.015888083293074895,0.04598194498166743,-15.740588396362,5.106259528999999,calibrated,0.0011704924650405703,0.0008394782469571381,0.0004899004510368532,2.6031988903622817e-05,1.8151959219659942e-05,1.0885314139644817e-05
