seed,pos_rms,pos_mean,pos_std,pos_max,vel_rms,vel_mean,vel_std,vel_max,runtime_s,n_iters,converged,rigid_dev,dv_err_R,dv_err_I,dv_err_C,dv_err_norm,t_star_error,config,mode
43,12.482689032411487,10.979597061916206,5.938516130974729,38.487873632239,0.005518137497429183,0.0013103886228657837,0.0053602913258141045,0.160863367968093,12.777904062000744,5,True,5.291515965260678,-0.004446523143017748,0.0006902644537080949,0.0013396352224157814,0.004694960660813075,-87.34903349239175,deltaI0.2,FGO-G
44,11.634244928826414,9.918181952971,6.081555870966206,33.72918020478438,0.003329968818821144,0.0011441476838310917,0.003127238144418336,0.09532151999461476,45.551538067000365,12,True,8.219432105235398,-0.001377402124397714,0.0010037797089239298,0.0014722794119485655,0.00225220269584919,5.36150153791823,deltaI0.2,FGO-G
45,12.51348831570616,11.659426632229266,4.543694579852122,32.53757232872459,0.003295692141965587,0.0010429716741205417,0.00312630721164698,0.09653908413196076,19.105353676999584,6,True,5.363471989296959,-7.216633714218465e-05,0.0013878694512994283,0.0019086980381467576,0.002361041675805825,55.39684438298718,deltaI0.2,FGO-G
46,15.521975067146064,12.822869440018096,8.746755358951914,51.13343086119922,0.0032857842243715616,0.0012566289152731547,0.003035994357443445,0.08064499577699556,25.472088059999805,9,True,2.111301903621824,-0.001045828802708905,0.0009642535972255728,-0.0005483265862315047,0.0015245343320195498,23.73384261875617,deltaI0.2,FGO-G
47,10.962109375894464,9.538191597048487,5.402845826697901,32.27842896955643,0.0038009210547208672,0.001059186095006449,0.0036503596645214805,0.11902787370209694,13.275703912999234,8,True,9.350282736665687,-0.0009575260680957571,0.0013947963287880005,0.0011012291024862734,0.002018667507551981,-24.486972194157715,deltaI0.2,FGO-G
48,14.727107920982364,12.069249121947273,8.439249572600426,49.744363283926226,0.004277769892080074,0.0013711593102408355,0.00405206581826192,0.13030345240180896,45.5674488500008,12,True,6.322443529278225,-0.0013032140210104044,0.001086853061140619,0.0008545818772741367,0.0018999806699106778,-39.141384925293096,deltaI0.2,FGO-G
49,12.841635711461132,10.572894817158572,7.288449967666321,35.90102374992271,0.007934371245558564,0.0014767730381713303,0.007795728859835799,0.19215850025238207,25.784911224998723,5,True,2.9561437171241627,-0.004540330705714887,0.001145364959784484,0.0007694680765745886,0.004745370894801264,-178.88738918687886,deltaI0.2,FGO-G
50,12.2487992907299,10.603772809555618,6.131320108093709,35.23325721122338,0.006934216505832782,0.0013928665290485584,0.006792884614213612,0.18367008253618608,18.02940745900014,7,True,5.738326843691049,-0.0028160036882800203,0.0015505638289097234,0.00013772999750752863,0.0032176224937278276,-140.15445417175215,deltaI0.2,FGO-G
51,12.188023340502971,11.268986684627915,4.6430434038811175,32.6923411705206,0.004047798266915194,0.0011858651888365308,0.0038701930912484663,0.12630631747638044,24.29067414400015,7,True,3.4730378072985126,-0.000731581300108033,0.0017130053113719457,0.0010391301892302273,0.002132929897025663,-33.848229957875446,deltaI0.2,FGO-G
52,13.26464307013122,10.605462475209448,7.967115002615719,44.30756520330385,0.0031871228753674544,0.0010917803128640562,0.0029942892263662463,0.08114630872944893,24.81471433200022,6,True,9.033787306039185,0.0003014410906357439,0.001292188114989573,0.0016502689479734756,0.0021175468014401604,23.355133007084078,deltaI0.2,FGO-G
53,13.342872756026576,11.069245008365268,7.450105256189127,45.978642013182395,0.004341294419496673,0.001406310429859768,0.004107204427785472,0.13101686233033102,13.228509335000126,6,True,1.8666056897725538,-0.004273034586856125,0.0005662327336345419,0.0007562279371289746,0.00437622266138302,-41.10276121701463,deltaI0.2,FGO-G
54,15.917911226523337,12.426419229247132,9.948065287003038,48.66477650891956,0.004277770541005389,0.0014058489454274682,0.0040401620690430256,0.1286801071174518,17.552790760999414,5,True,7.4660745824472485,-0.0024915133925714544,0.0005139727143667894,0.0006278380658150527,0.002620302954500275,-37.291842349812214,deltaI0.2,FGO-G
55,12.547461124446667,10.899771448113508,6.215606410350478,36.876164228437396,0.004376514968792043,0.0011250225321090157,0.0042294453033829196,0.1357326892254583,20.959353213000213,6,True,6.405231000755598,-0.0023785317763981286,0.0011141833040557159,0.00039288161052754907,0.0026557812045164544,-47.313611825076805,deltaI0.2,FGO-G
56,13.962362981668367,12.059936149902262,7.036015924665303,40.30219508490321,0.003714029169266081,0.001349831068831036,0.0034600532879968423,0.11069125671843612,19.096312130001024,11,True,9.040531282713985,-0.0016936850228219803,0.0008298033873707644,0.0015062745593004512,0.0024137120097930606,-13.779234164358058,deltaI0.2,FGO-G
57,13.477072545714039,12.070714149117208,5.994109135871713,36.927895815584684,0.0067459455208012335,0.0017107409165835223,0.006525423088654496,0.17986490130511554,28.42267767299927,10,True,4.702718589144758,-0.00596383978717447,0.0008262754188985144,0.001981740650228084,0.006338565459134075,-130.69999848285806,deltaI0.2,FGO-G
58,14.24436306741793,12.590293736455683,6.662310622162908,40.17398328298599,0.0049427115387567075,0.0013164849047275012,0.004764164654058813,0.14900876789030407,21.730881122999563,7,True,4.600211708855168,-0.002900881977560227,0.0010409682300007161,0.0012973494973149637,0.003343926856524817,-66.77476377920539,deltaI0.2,FGO-G
59,9.158986585835915,7.81505200199472,4.776190687738561,24.25382939128564,0.005628544254943674,0.0011498480456813504,0.005509842094080574,0.16476593606005324,18.314312603999497,7,True,4.900049982937658,-0.0030674659997947857,0.001223682962799788,0.001061919046111465,0.0034690661155183794,-93.75413174001733,deltaI0.2,FGO-G
60,16.848251670917396,15.59236341509307,6.382929382206735,44.945374521341456,0.004441086805442232,0.0013656823697615983,0.004225892057115922,0.13571418358508314,10.942202504998932,5,True,1.9011730934265374,0.00047810453805893104,0.001020012506406348,0.002561163638659365,0.0027979579422372993,106.33880443275848,deltaI0.2,FGO-G
61,10.663843683994944,9.191733223953735,5.406440830744747,31.575178646618085,0.0038922615051761034,0.0012060445071112793,0.003700696727853076,0.12021991537602586,14.947654005000004,6,True,1.2715027846758455,-0.003049469136011335,0.0009087683752824205,0.001444375005498567,0.003494472939930735,-26.279369671276072,deltaI0.2,FGO-G
62,14.713955461616683,11.77620948155799,8.821642453245492,46.30495221799695,0.004037519130249724,0.001310971681683245,0.003818758172096931,0.1231937255555846,17.764876320999974,5,True,6.30111288084325,-0.0011959076342613353,0.0010590004807441433,-0.0005059300024756801,0.0016756020575619715,-29.664015915841446,deltaI0.2,FGO-G
63,19.587120172549902,17.032211054024515,9.67259340947796,53.970358851995954,0.0058396968212176175,0.001919197969489685,0.005515318496482848,0.16456007517575444,51.04178053800024,12,True,2.374420698272924,-0.0036292051467628718,0.0007023952615432816,0.00027689192590417796,0.003706906829063754,-93.36511379843432,deltaI0.2,FGO-G
64,13.178037973837384,12.816225894116288,3.0667635498817525,22.926150031302782,0.004018902270306646,0.0012352985991158773,0.003824344758164236,0.12401079705279927,12.277748233000239,5,True,2.3134453062908773,-0.0031111510332338817,0.0011047538743906848,0.00218346462354686,0.003958188933951247,-31.714442267810227,deltaI0.2,FGO-G
65,9.997551020932965,8.869611628319511,4.6131351572371155,27.381207873249878,0.005249825977531513,0.00122375872235102,0.00510520199246166,0.15662286196561087,27.852658546000384,6,True,5.660422137387079,-0.0032536703770354044,0.0011037961030839483,0.0005069851644231684,0.0034730060058292744,-79.4805621678679,deltaI0.2,FGO-G
66,14.580482782973199,11.544646023844296,8.905707516458984,50.967950865192925,0.003957385060896242,0.0013368934037854157,0.0037247298623013987,0.1193938660994176,33.945682694000425,9,True,6.206510072940333,-0.0013578669250232174,0.0010738554715375714,0.0015998123069977874,0.0023571948535165204,-25.053830791490327,deltaI0.2,FGO-G
67,11.489959089576194,9.738511779917431,6.097585439544416,31.542719824893336,0.00320742095914288,0.0010212560131722427,0.0030404909742850032,0.09059148835531605,20.742197527000826,9,True,7.49569954136268,-0.0006320126520714984,0.001198166948285534,0.0011946975918376947,0.0018061966571459225,11.377148834682885,deltaI0.2,FGO-G
68,12.543910664051264,11.02364255631475,5.985732999249584,39.1847107344544,0.005363901917796437,0.0013831101545223646,0.0051825138768938584,0.15760939945045796,15.300359729000775,7,True,9.047673248034599,-0.004064198819434758,0.0007624426202073042,0.001989042431302185,0.004588607695861999,-81.19009724412172,deltaI0.2,FGO-G
69,14.339231157220526,12.826196559479799,6.41110224515196,39.86719413260574,0.0038513525445761096,0.0011570597909827543,0.0036734355939234626,0.11896092060799127,28.974669043000176,8,True,8.898724608420867,-0.0012174502399932288,0.0009580504033160075,-0.0006752453905067449,0.0016899710055365274,-24.151824044551176,deltaI0.2,FGO-G
70,14.969346459477789,13.454279813300625,6.562292901821094,43.94634290898461,0.003490794691202403,0.0013245450792935525,0.0032297411520191698,0.09858706759212443,23.926556944001277,8,True,6.437295130647545,-0.0021911483906440444,0.0008271436709224589,0.0024085575038978856,0.0033595307963690227,1.3371524308458902,deltaI0.2,FGO-G
71,14.469249850916407,12.916366537409466,6.521247328504992,40.18671423083981,0.0032725590376526813,0.001194713620674557,0.003046687056377293,0.0846236093693819,15.129289016998882,6,True,2.2232368921160757,-0.0015960651859251197,0.0008079099456116123,0.0016520546989046117,0.0024350415368352865,18.81271397115779,deltaI0.2,FGO-G
72,10.683464017505791,10.260848277440818,2.97512958384686,19.284013977231368,0.004571164439433114,0.00106006649182159,0.004446549602248346,0.14190129120357833,15.583996078999917,6,True,12.466295592891896,-0.0026391551151051552,0.0012057919612663281,0.0007429483265087898,0.002995170477836348,-56.026614683665684,deltaI0.2,FGO-G
73,14.313443108671288,13.678218316909804,4.216751984658659,36.48406240388991,0.004771989414582236,0.0014258107416550117,0.004554003370866791,0.14357031289153432,7.962654955999824,5,True,1.05987587878492,-0.004080126383825253,0.0008379280987020898,0.0006524663042952342,0.004216072471486005,-58.83985408890294,deltaI0.2,FGO-G
74,16.62997406707854,14.105258609694408,8.808956636591335,49.67084938761462,0.0037788852111447398,0.0013597257642221391,0.0035257792450916364,0.11365149298457188,9.977182075999735,4,True,1.6070238435425241,-0.0006258190303103349,0.001282824587075987,0.0019757328356116407,0.0024373774056594636,-17.513464334864693,deltaI0.2,FGO-G
75,11.96078233184231,10.233352633915095,6.191833965769282,31.676560750625168,0.003451989290943103,0.00099277971204336,0.0033061485913583755,0.10577293806140871,20.537532989999818,6,True,4.714106005971182,0.0009153531414190825,0.0017032537018512872,0.0006208178974019833,0.0020308518922143278,66.97285663490766,deltaI0.2,FGO-G
76,12.95823374720045,11.09084114980889,6.701422568141073,39.85082201477601,0.003462878700962756,0.001283343293693761,0.003216295833425892,0.09920552858280798,33.74174176800079,7,True,6.318554841245683,-0.0011397500790217268,0.0010417734025448544,0.00024640127551016664,0.00156366097778673,0.415529932215577,deltaI0.2,FGO-G
